Year,Name,College,POS,Height (in),Weight (lbs),BMI,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
1987,Ben Tamburello,Auburn,C,74.5,264.0,33.438493761542276,5.03,20.0,28.0,108.0,4.59,
1987,Gene Taylor,Frenso State (CA),WR,74.3,189.0,24.06797222710303,4.54,10.0,30.5,127.0,4.32,
1987,Kitrick Taylor,Washington State,WR,70.8,178.0,24.963691787162055,4.55,2.0,31.0,123.0,4.21,
1987,Derek Tennell,UCLA,TE,76.3,243.0,29.343541136680244,4.7,17.0,32.0,117.0,4.61,
1987,Vinny Testaverde,Miami (FL),QB,76.3,213.0,25.720881737090092,4.75,13.0,,,,
1987,Eric Thomas,Tulane (LA),CB,70.3,171.0,24.32432432432433,4.38,7.0,35.0,126.0,4.22,
1987,Henry Thomas,Louisiana State,DT,73.8,268.0,34.59213724928578,4.95,18.0,27.0,98.0,4.67,
1987,Jeff Tiefenthaler,South Dakota State,WR,73.0,181.0,23.877462938637642,4.67,11.0,24.0,105.0,,
1987,Van Tiffin,Alabama,K,68.6,155.0,23.154680447772613,4.9,,22.5,100.0,4.65,
1987,Spencer Tillman,Oklahoma,RB,70.4,202.0,28.652424457644624,4.58,18.0,27.0,103.0,4.21,
1987,Steve Trapilo,Boston College,OG,76.5,284.0,34.11542569097355,5.22,26.0,23.5,97.0,4.91,
1987,Odessa Turner,Northwestern State (LA),WR,74.9,205.0,25.688902515325278,4.53,10.0,31.0,116.0,4.25,
1987,Ralph Van Dyke,Southern Illinois,OT,77.8,262.0,30.429682595277594,5.28,21.0,24.5,99.0,4.94,
1987,Jeff Van Raaphorst,Arizona State,QB,73.0,206.0,27.175455057234,4.83,8.0,24.0,106.0,4.41,
1987,Roger Vick,Texas A&M,FB,74.5,223.0,28.245394351605785,4.61,12.0,34.0,119.0,4.25,
